player,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense
Yannick Carrasco,FW,Belgium,29-094,1993,1.3,4,3.10,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Yasser Al-Shahrani,DF,Saudi Arabia,30-196,1992,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yassine Bounou,GK,Morocco,31-246,1991,3.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yassine Meriah,DF,Tunisia,29-158,1993,3.0,3,1.00,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Yeltsin Tejeda,MF,Costa Rica,30-265,1992,3.0,3,1.00,3,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Youri Tielemans,MF,Belgium,25-214,1997,1.1,2,1.89,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Youssef En-Nesyri,FW,Morocco,25-189,1997,3.6,2,0.56,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Youssef Msakni,MF,Tunisia,32-040,1990,1.9,7,3.73,6,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Youssouf Fofana,MF,France,23-331,1999,1.2,1,0.80,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Youssouf Sabaly,DF,Senegal,29-277,1993,4.0,15,3.75,12,1,0,0,2,0,1,0.25,1,0,0,0,0,0
Youssoufa Moukoko,FW,Germany,18-017,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Youstin Salas,DF,Costa Rica,26-173,1996,0.5,1,1.91,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Yuki Soma,FW,Japan,25-285,1997,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yunus Musah,MF,United States,20-008,2002,3.8,10,2.62,9,0,1,0,0,0,1,0.26,1,0,0,0,0,0
Yuto Nagatomo,MF,Japan,36-086,1986,2.3,2,0.86,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Zakaria Aboukhlal,MF,Morocco,22-292,2000,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Álvaro Morata,FW,Spain,30-045,1992,2.1,4,2.32,4,0,0,0,0,0,2,1.16,2,0,0,0,0,0
Álvaro Zamora,MF,Costa Rica,20-273,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ángel Di María,MF,Argentina,34-296,1988,2.4,11,4.58,11,0,0,0,0,0,2,0.83,2,0,0,0,0,0
Ángelo Preciado,DF,Ecuador,24-292,1998,2.9,5,1.70,4,0,0,1,0,0,1,0.34,1,0,0,0,0,0
Éder Militão,DF,Brazil,24-323,1998,2.7,3,1.12,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Óscar Duarte,DF,Costa Rica,33-187,1989,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
İlkay Gündoğan,MF,Germany,32-044,1990,2.1,6,2.86,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
